,value,var,isspike,Consumption_Oil,Consumption_Gas,Humidity,Precip,TempAvg,TempMax,TempMin,Wind_v,Wind_x,Wind_y,local_traffic,location,total_traffic,predicted,exp_value,reduction,error
2010-03-03,24.6,5.16340944546,0.0,11125.3746306,301274.53908,78.1666666667,0.07,3.075,4.4,1.1,10.5416666667,0.403461892436,0.23668513931,0.0116723839313,2.0,0.0712087337679,16.4577948983,16.4780416704,-0.0202467720667,8.14220510165
2010-03-04,17.8,3.0925547574,0.0,10891.1826355,297498.050634,53.3333333333,0.0,4.70416666667,8.3,1.7,7.875,0.119974385065,-2.31296463464e-18,0.0106572417957,2.0,0.0836317784499,17.1276379256,17.1452643884,-0.0176264627516,0.672362074353
2010-03-05,17.8,2.52361312178,0.0,10656.9906405,293721.562187,43.5416666667,0.0,4.39583333333,8.3,1.1,7.54166666667,0.201485037909,0.0208333333333,0.0473494315456,2.0,0.13765761636,15.0991363479,15.1347056958,-0.0355693478828,2.70086365208
2010-03-06,15.6,1.96319393713,0.0,10422.7986454,289945.073741,26.4166666667,0.0,5.98333333333,12.2,0.0,7.08333333333,0.110322423662,-0.20555472447,0.0790354066834,2.0,0.179662968253,14.78254779,14.7658360582,0.0167117318528,0.817452209984
2010-03-07,16.3,2.14421618394,0.0,10188.6066504,286168.585294,35.5,0.0,8.5,13.9,2.8,7.125,0.0344313259305,-0.496834948544,0.0582272346879,2.0,0.131917294674,17.1213177287,17.1223454319,-0.00102770319254,-0.821317728699
2010-03-08,19.3,3.01040466248,0.0,9954.41465535,282392.096848,35.2916666667,0.0,10.625,15.6,5.6,7.20833333333,0.0429723600827,-0.367442343901,0.213908912531,2.0,0.2602847222,17.145813893,17.0445817352,0.101232157842,2.154186107
2010-03-09,18.0,2.88187426432,0.0,9720.2226603,278615.608401,35.4166666667,0.0,11.55,15.6,7.2,4.45833333333,0.285084172639,-0.0752382510238,0.22364862689,2.0,0.287943432664,23.5343727508,23.400148747,0.134224003772,-5.53437275082
2010-03-10,33.0,5.90120965246,0.0,9486.03066526,274839.119955,43.6666666667,0.0,9.87916666667,13.3,6.7,4.95833333333,0.223016130369,0.444234459847,0.294020167109,2.0,0.322714366688,27.7007275194,27.7091506183,-0.00842309891877,5.29927248057
2010-03-11,37.3,6.5368395834,0.0,9251.83867021,271062.631508,69.875,0.0,7.65833333333,11.1,5.6,8.79166666667,0.290038657888,0.526985962816,0.348755704164,2.0,0.37258329969,18.6472197413,19.015189332,-0.367969590672,18.6527802587
2010-03-12,11.8,1.48548533034,0.0,9017.64667516,267286.143062,83.3333333333,0.21,5.41666666667,6.1,3.9,13.7619047619,0.306530235755,0.299764286253,0.554811954265,2.0,0.494315230563,16.5615480198,17.503484228,-0.941936208216,-4.76154801975
2010-03-13,14.3,2.12853286888,0.0,8783.45468011,263509.654615,94.0,3.86,5.17083333333,7.2,3.3,22.6666666667,0.324378686966,0.431604233467,0.524547674686,2.0,0.523529745367,11.1942670506,11.8057634802,-0.611496429594,3.1057329494
2010-03-14,18.3,3.10343136413,0.0,8549.26268506,259733.166169,89.3333333333,0.24,7.64166666667,10.0,6.1,14.25,0.363558047371,0.307879204979,0.354903782791,2.0,0.324522784215,15.9928624565,16.4619946025,-0.469132146035,2.30713754349
2010-03-15,16.0,2.50320084946,0.0,8315.07069001,255956.677722,82.7916666667,0.33,6.22083333333,7.8,5.0,11.5416666667,0.174973242933,0.101020848908,0.348478091348,2.0,0.314502725567,13.4545564298,13.8502464096,-0.395689979752,2.54544357015
2010-03-16,16.2,3.07457726563,0.0,8080.87869497,252180.189276,31.0833333333,0.0,11.1791666667,16.1,6.7,7.70833333333,0.611314294638,0.256240342248,0.320457301171,2.0,0.360587225954,19.3030250963,19.0923299201,0.210695176184,-3.10302509627
2010-03-17,30.2,10.3502357921,0.0,7846.68669992,248403.700829,31.0833333333,0.0,12.7041666667,18.9,6.1,2.45833333333,0.465489931121,-0.191956731872,0.344526060194,2.0,0.384358054681,17.923562745,17.5637656553,0.359797089754,12.276437255
2010-03-18,21.2,4.35806764784,0.0,7612.49470487,244627.212383,29.1666666667,0.0,14.8541666667,20.0,10.0,3.29166666667,0.376653065894,-0.381503732193,0.502651933378,2.0,0.453430185976,24.9940092985,24.1623197168,0.83168958176,-3.79400929854
2010-03-19,39.8,7.89964111274,0.0,7378.30270982,240850.723936,30.5416666667,0.0,16.0,21.7,10.0,3.375,0.338915608176,-0.0625,0.47266164695,2.0,0.496048513993,22.8853296573,22.0258702232,0.859459434062,16.9146703427
2010-03-20,28.5,4.17190178369,0.0,7144.11071477,237074.23549,34.375,0.0,17.6833333333,23.3,12.8,5.0,0.134748148203,-0.0684494837369,0.501523419057,2.0,0.525583964942,35.4948465425,34.0650460506,1.42980049184,-6.99484654249
2010-03-21,44.0,7.39162152985,0.0,6909.91871972,233297.747043,55.2916666667,0.0,13.5708333333,16.7,11.1,6.5,0.177751851797,0.391016198184,0.430502325177,2.0,0.445605533638,24.776148295,24.6376788968,0.138469398212,19.223851705
2010-03-22,35.5,7.3074064076,0.0,6675.72672468,229521.258597,92.8333333333,1.34,11.75,13.9,10.6,5.70833333333,0.121568544428,0.23645318733,0.317088722836,2.0,0.309409475213,24.4287828334,24.8806275278,-0.451844694383,11.0712171666
2010-03-23,22.8,5.14155421153,0.0,6441.53472963,225744.77015,89.5416666667,0.11,9.62083333333,11.1,7.2,6.125,0.136627945379,0.144740180685,0.216565993829,2.0,0.277719320495,20.4242970451,20.7564689649,-0.332171919783,2.3757029549
2010-03-24,17.6,3.89791610992,0.0,6207.34273458,221968.281704,40.8333333333,0.0,10.6333333333,15.6,6.1,11.625,0.133974038693,-0.399767141373,0.26703562591,2.0,0.311359997649,22.2339347636,22.0899818506,0.143952913017,-4.63393476359
